"","lon","lat"
"545",-111.9213871,40.5600984
"546",-111.8628324,40.7658196
"547",-111.9429,40.6947196
"548",-111.9500827,41.1831185
"549",-94.7045826,33.1862363
"550",-113.586973,37.0983359
"551",-111.865349,40.7549405
"552",-111.4257715,40.5068424
"553",-77.4903742,37.5595524
"554",-80.0058767,37.3116526
"555",-78.4920633,38.08134
"556",-76.4236512,37.0307081
"557",-76.1774284,36.8573117
"558",-72.973999,43.612698
"559",-73.1359511,43.9889513
"560",-73.2143635,44.4743987
"561",-73.1982265,42.8814229
"562",-72.615862,44.5931904
"563",-72.5641258,42.8410424
"564",-72.0057782,44.421109
"565",-73.1046456,44.4477985
"566",-72.2069973,44.935194
"567",-72.3188119,43.6475319
"568",-73.0782775,44.80843
"569",-72.4968002,44.1950554
"570",-122.2050611,47.3874389
"571",-122.9664961,46.718523
"572",-122.1740646,48.0878404
"573",-122.3198641,47.2893499
"574",-120.5237946,46.5930602
"575",-122.553633,45.6217075
"576",-117.242058,47.658663
"577",-122.3221135,47.6100869
"578",-117.4083817,47.6752925
"579",-122.1442798,47.6175496
"580",-122.2096068,47.9754355
"581",-122.4501709,47.2473769
"582",-117.179435,46.7159978
"583",-122.4712432,48.7504354
"584",-122.3178595,48.4213644
"585",-122.3351521,47.8220313
"586",-122.3050968,47.6173163
"587",-122.3333548,47.7083821
"588",-123.1261381,47.2250845
"589",-119.981484,46.3090429
"590",-119.1423504,46.2421482
"591",-122.8975493,47.04391
"592",-123.432629,48.1101171
"593",-123.0201817,48.5347519
"594",-122.3170745,47.6655947
"595",-119.2683746,47.12838
"596",-120.5464185,46.9984902
"597",-122.3014608,47.1627868
"598",-119.5854318,48.3601921
"599",-122.6371546,47.606435
"600",-119.2219978,46.2314923
"601",-118.3320416,46.056708
"602",-120.3129595,47.4116445
"603",-122.3449551,47.5140193
"604",-87.687096,44.086835
"605",-89.4606758,43.5393784
"606",-89.8158045,44.3797539
"607",-87.9196442,43.0119916
"608",-87.734898,43.7569598
"609",-87.9407817,43.0383984
"610",-89.3944658,43.0414617
"611",-88.0479115,43.0035476
"612",-88.0699866,44.4795111
"613",-87.9031862,43.0343562
"614",-88.6379115,42.6290228
